item_name,store_name,category,OOS_days,Avg_NS_Percentage,Avg_Margin_Percentage,avg_loss_sale_quantity,avg_loss_net_sale,avg_loss_mergin,total_loss_sale_quantity,total_loss_net_sale,total_loss_mergin
AULS316316-Boost King Size 77g,AULS.MEL111,confectionary,7,0.047244548151989155,0.04035106277704033,0.13333333333333333,0.48133333333333334,0.2906666666666667,0.9333333333333333,3.3693333333333335,2.034666666666667
AULS100297-Parkers Pretzels 75g,AULS.MEL111,confectionary,7,0.09904594296608815,0.11712898349445322,2.0,6.305,4.585000000000001,14.0,44.135,32.095000000000006
AULS470776-Chupa Chup Bbbl Gum Filld,AULS.MEL111,confectionary,7,0.004609224209950162,0.004521366442247648,0.0,0.0,0.0,0.0,0.0,0.0
AULS487109-CAD Twirl Bites Bag 109g,AULS.MEL904,confectionary,7,0.08235665530014098,0.08732980292147641,0.36363636363636365,2.138181818181818,1.24,2.5454545454545454,14.967272727272727,8.68
AULS430598-Extra Peppermint 10p,AULS.MEL904,confectionary,7,0.26746304245093405,0.2862163863490969,3.875,5.605625,3.280625,27.125,39.239374999999995,22.964375
AULS463276-FMan Friend Peppermint 25g,AULS.MEL904,confectionary,7,0.007899515916544135,0.00732443508373673,0.09090909090909091,0.25636363636363635,0.13,0.6363636363636364,1.7945454545454544,0.91
AULS478546-TNCC Rainbow Grdn Friends 180g,AULS.MEL904,confectionary,7,0.09770748764860267,0.10039085849037757,0.4666666666666667,2.034666666666667,1.1433333333333333,3.2666666666666666,14.242666666666668,8.003333333333334
AULS492768-M&M'S Caramel 40g,AULS.MEL904,confectionary,7,0.05706139688652626,0.06166867021551766,0.42857142857142855,1.247142857142857,0.7371428571428572,3.0,8.73,5.16
AULS502391-RRD PC STEAK & CHIMICHURRI 80G,AULS.MEL904,confectionary,7,0.15244384970862832,0.16042049428156252,0.7777777777777778,2.8216666666666668,1.6238888888888887,5.444444444444445,19.75166666666667,11.367222222222221
AULS176246-Go Nat Almond/Apricot 40g,AULS.MEL904,confectionary,7,0.009944426065153078,0.01121714184152688,0.0,0.0,0.0,0.0,0.0,0.0
AULS477714-AB Lo Carb Whip'd Chocolate,AULS.MEL904,confectionary,7,0.011373061922400422,0.011524460796089262,0.09090909090909091,0.3690909090909091,0.20454545454545456,0.6363636363636364,2.5836363636363635,1.4318181818181819
AULS495828-TNCC Snakes Reduced Sugar 260g,AULS.MEL904,confectionary,7,0.0280124677891636,0.02694162834996867,0.07692307692307693,0.38461538461538464,0.2023076923076923,0.5384615384615385,2.6923076923076925,1.416153846153846
AULS503878-Nutri Grain To-Go Bar Orig Nut,AULS.OOL101,confectionary,7,0.0034584490341011704,0.003508626436543302,0.0,0.0,0.0,0.0,0.0,0.0
